,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
701599,4666,2367,2,964809827,M,35,1,53704,King Kong (1976),Action|Adventure|Horror,False
598089,3841,1783,3,966000529,M,45,18,26101,Palmetto (1998),Film-Noir|Mystery|Thriller,False
807191,5493,2065,5,974324611,M,35,12,96797,"Purple Rose of Cairo, The (1985)",Comedy|Drama|Romance,False
753302,1029,3424,5,975004163,M,25,0,20015,Do the Right Thing (1989),Comedy|Drama,False
328062,3576,364,4,966722720,M,50,7,68046,"Lion King, The (1994)",Animation|Children's|Musical,False
871015,2872,492,5,973292168,M,25,20,94014,Manhattan Murder Mystery (1993),Comedy|Mystery,False
300377,1767,1449,5,974702644,M,25,20,75205,Waiting for Guffman (1996),Comedy,False
790038,817,1588,5,975388766,M,18,4,41076,George of the Jungle (1997),Children's|Comedy,False
591168,4520,1982,4,990901171,M,25,4,45810,Halloween (1978),Horror,False
127658,3292,590,3,968083885,F,50,6,79410,Dances with Wolves (1990),Adventure|Drama|Western,False
865950,5184,1914,2,961734963,M,18,20,67212,Smoke Signals (1998),Comedy|Drama,False
501866,500,954,4,976643652,F,18,2,55105,Mr. Smith Goes to Washington (1939),Drama,False
865128,4981,2491,3,962600155,M,50,1,55406,Simply Irresistible (1999),Comedy|Romance,False
375271,5136,3252,5,962091617,M,25,12,91106,Scent of a Woman (1992),Drama,False
242587,4748,296,3,966168862,M,45,16,60302,Pulp Fiction (1994),Crime|Drama,False
616159,6023,2605,3,956753036,M,25,0,43213,Entrapment (1999),Crime|Thriller,False
640168,2131,3662,3,994041706,M,25,0,01701,Puppet Master III: Toulon's Revenge (1991),Horror|Sci-Fi|Thriller,False
258131,2129,1912,5,983417730,M,25,5,04103,Out of Sight (1998),Action|Crime|Romance,False
92175,1894,1293,5,974693288,F,35,7,94602,Gandhi (1982),Drama,False
931555,1632,1131,3,974717339,M,25,16,94120,Jean de Florette (1986),Drama,False
43360,5086,1,4,962395999,M,25,1,23462,Toy Story (1995),Animation|Children's|Comedy,False
294286,5433,551,4,960049537,F,35,17,45014,"Nightmare Before Christmas, The (1993)",Children's|Comedy|Musical,False
82980,2411,1253,4,974587899,F,35,14,01536,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi,False
577756,1159,2641,2,974864682,M,18,0,48314,Superman II (1980),Action|Adventure|Sci-Fi,False
741062,284,196,1,976575355,M,25,12,91910,Species (1995),Horror|Sci-Fi,False
248382,3618,6,3,966598612,M,56,17,22657,Heat (1995),Action|Crime|Thriller,False
679782,533,2450,1,976233275,M,25,12,27514,Howard the Duck (1986),Adventure|Children's|Sci-Fi,False
990964,5265,3133,4,961220239,M,45,1,97405,Go West (1925),Comedy,False
303782,5458,3624,4,978297170,F,18,2,98102,Shanghai Noon (2000),Action,False
887659,3999,1342,1,965962510,M,35,17,30701,Candyman (1992),Horror,False
304111,1420,2395,3,974767389,M,18,4,01375,Rushmore (1998),Comedy,False
295261,1029,2318,3,975001296,M,25,0,20015,Happiness (1998),Comedy,False
934372,1105,2861,4,981135543,M,35,6,48105,For Love of the Game (1999),Comedy|Drama,False
846966,5536,1603,2,959992241,M,25,16,67204,Mimic (1997),Sci-Fi|Thriller,False
955080,1227,1415,4,976904953,M,50,1,90027,"Thieves (Voleurs, Les) (1996)",Crime|Drama|Romance,False
57752,2338,608,5,974427325,M,45,17,13152,Fargo (1996),Crime|Drama|Thriller,False
704018,4030,3752,3,968911450,M,35,7,89128,"Me, Myself and Irene (2000)",Comedy,False
434906,48,2135,3,978130668,M,25,4,92107,Doctor Dolittle (1967),Adventure|Musical,False
316856,3434,353,5,967335791,M,18,4,48867,"Crow, The (1994)",Action|Romance|Thriller,False
277431,891,3176,4,975233317,M,25,1,80202,"Talented Mr. Ripley, The (1999)",Drama|Mystery|Thriller,False
98595,509,2278,4,976298025,M,25,2,55125,Ronin (1998),Action|Crime|Thriller,False
280580,639,3100,4,984290947,M,45,17,85202,"River Runs Through It, A (1992)",Drama,False
613418,1017,2389,1,975012806,M,35,0,30906,Psycho (1998),Crime|Horror|Thriller,False
4420,781,2355,4,975434970,M,18,4,95076,"Bug's Life, A (1998)",Animation|Children's|Comedy,False
89160,4834,1259,4,1009662944,F,45,9,03862,Stand by Me (1986),Adventure|Comedy|Drama,False
886440,5413,3553,3,982890950,M,35,1,59801,Gossip (2000),Drama|Thriller,False
